GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABZ001,ABZ002,ABZ003,ABZ004,ABZ005,ABZ006
"G1800650","1830","Indiana","180","Henry","0650","Henry",0,0,0,0,0,0
"G1800710","1830","Indiana","180","Jackson","0710","Jackson",1,0,1,0,0,0
"G1800770","1830","Indiana","180","Jefferson","0770","Jefferson",1,2,3,0,0,0
"G1800790","1830","Indiana","180","Jennings","0790","Jennings",0,0,0,0,0,0
"G1800810","1830","Indiana","180","Johnson","0810","Johnson",1,0,0,0,0,0
"G1800830","1830","Indiana","180","Knox","0830","Knox",0,1,0,0,0,0
"G1800930","1830","Indiana","180","Lawrence","0930","Lawrence",1,2,0,0,0,0
"G1800950","1830","Indiana","180","Madison","0950","Madison",2,0,0,0,0,0
"G1800970","1830","Indiana","180","Marion","0970","Marion",0,0,0,0,0,0
"G1801010","1830","Indiana","180","Martin","1010","Martin",0,0,0,0,0,0
"G1801050","1830","Indiana","180","Monroe","1050","Monroe",7,1,1,0,0,0
"G1801070","1830","Indiana","180","Montgomery","1070","Montgomery",0,0,0,0,1,0
"G1801090","1830","Indiana","180","Morgan","1090","Morgan",0,1,0,0,0,0
"G1801170","1830","Indiana","180","Orange","1170","Orange",1,2,1,0,0,0
"G1801190","1830","Indiana","180","Owen","1190","Owen",1,0,0,0,0,0
"G1801210","1830","Indiana","180","Parke","1210","Parke",1,1,0,0,0,0
"G1801230","1830","Indiana","180","Perry","1230","Perry",2,0,2,0,0,0
"G1801250","1830","Indiana","180","Pike","1250","Pike",2,1,2,0,0,0
"G1801290","1830","Indiana","180","Posey","1290","Posey",0,0,0,0,0,0
"G1801330","1830","Indiana","180","Putnam","1330","Putnam",1,2,0,0,0,0
"G1801350","1830","Indiana","180","Randolph","1350","Randolph",0,2,1,0,0,0
"G1801370","1830","Indiana","180","Ripley","1370","Ripley",0,0,0,0,0,0
"G1801390","1830","Indiana","180","Rush","1390","Rush",1,0,0,0,0,0
"G1801410","1830","Indiana","180","St Joseph","1410","St Joseph",0,0,0,0,0,0
"G1801430","1830","Indiana","180","Scott","1430","Scott",0,0,0,1,0,0
"G1801450","1830","Indiana","180","Shelby","1450","Shelby",2,5,1,0,0,0
"G1801470","1830","Indiana","180","Spencer","1470","Spencer",0,1,1,0,0,0
"G1801530","1830","Indiana","180","Sullivan","1530","Sullivan",0,0,0,0,0,0
"G1801550","1830","Indiana","180","Switzerland","1550","Switzerland",2,1,0,0,0,0
"G1801570","1830","Indiana","180","Tippecanoe","1570","Tippecanoe",0,0,0,0,0,0
"G1801610","1830","Indiana","180","Union","1610","Union",0,0,0,0,0,0
"G1801630","1830","Indiana","180","Vanderburgh","1630","Vanderburgh",1,0,1,0,0,0
"G1801650","1830","Indiana","180","Vermillion","1650","Vermillion",2,2,2,0,0,0
"G1801670","1830","Indiana","180","Vigo","1670","Vigo",0,0,0,0,0,0
"G1801710","1830","Indiana","180","Warren","1710","Warren",0,0,0,0,0,0
"G1801730","1830","Indiana","180","Warrick","1730","Warrick",0,1,0,0,0,0
"G1801750","1830","Indiana","180","Washington","1750","Washington",0,0,1,0,0,0
"G1801770","1830","Indiana","180","Wayne","1770","Wayne",2,5,3,0,0,0
"G2100010","1830","Kentucky","210","Adair","0010","Adair",5,3,1,0,0,0
"G2100030","1830","Kentucky","210","Allen","0030","Allen",1,2,4,0,0,0
"G2100050","1830","Kentucky","210","Anderson","0050","Anderson",0,2,0,0,0,0
"G2100090","1830","Kentucky","210","Barren","0090","Barren",1,1,3,0,2,0
"G2100110","1830","Kentucky","210","Bath","0110","Bath",0,0,5,0,0,0
"G2100150","1830","Kentucky","210","Boone","0150","Boone",2,1,1,0,0,0
"G2100170","1830","Kentucky","210","Bourbon","0170","Bourbon",8,4,4,3,0,0
"G2100230","1830","Kentucky","210","Bracken","0230","Bracken",1,1,1,0,0,0
"G2100270","1830","Kentucky","210","Breckinridge","0270","Breckinridge",0,1,0,0,1,0
"G2100290","1830","Kentucky","210","Bullitt","0290","Bullitt",0,0,0,0,0,0
"G2100310","1830","Kentucky","210","Butler","0310","Butler",0,2,0,0,0,0
"G2100330","1830","Kentucky","210","Caldwell","0330","Caldwell",0,1,1,0,0,0
"G2100350","1830","Kentucky","210","Calloway","0350","Calloway",1,0,0,0,0,0
"G2100370","1830","Kentucky","210","Campbell","0370","Campbell",0,3,3,1,0,0
"G2100450","1830","Kentucky","210","Casey","0450","Casey",0,0,0,0,0,0
"G2100470","1830","Kentucky","210","Christian","0470","Christian",3,1,1,1,0,2
"G2100490","1830","Kentucky","210","Clark","0490","Clark",0,0,0,0,0,0
"G2100510","1830","Kentucky","210","Clay","0510","Clay",0,1,0,0,0,0
"G2100570","1830","Kentucky","210","Cumberland","0570","Cumberland",2,5,0,0,0,0
"G2100590","1830","Kentucky","210","Daviess","0590","Daviess",1,3,2,0,0,0
"G2100610","1830","Kentucky","210","Edmonson","0610","Edmonson",0,1,0,0,1,0
"G2100650","1830","Kentucky","210","Estill","0650","Estill",0,0,0,0,0,0
"G2100670","1830","Kentucky","210","Fayette","0670","Fayette",0,5,3,3,2,1
"G2100690","1830","Kentucky","210","Fleming","0690","Fleming",5,0,6,0,1,0
"G2100710","1830","Kentucky","210","Floyd","0710","Floyd",1,1,0,0,0,0
"G2100730","1830","Kentucky","210","Franklin","0730","Franklin",1,1,0,0,4,0
"G2100770","1830","Kentucky","210","Gallatin","0770","Gallatin",4,1,2,0,0,0
"G2100790","1830","Kentucky","210","Garrard","0790","Garrard",9,3,0,1,0,0
"G2100810","1830","Kentucky","210","Grant","0810","Grant",3,4,0,0,0,0
"G2100830","1830","Kentucky","210","Graves","0830","Graves",0,0,0,0,0,0
"G2100850","1830","Kentucky","210","Grayson","0850","Grayson",0,0,0,0,1,0
"G2100870","1830","Kentucky","210","Green","0870","Green",0,0,1,0,0,0
"G2100890","1830","Kentucky","210","Greenup","0890","Greenup",1,0,1,0,0,0
"G2100910","1830","Kentucky","210","Hancock","0910","Hancock",0,0,0,0,0,0
"G2100930","1830","Kentucky","210","Hardin","0930","Hardin",0,0,3,0,0,0
"G2100950","1830","Kentucky","210","Harlan","0950","Harlan",0,1,1,0,1,0
"G2100970","1830","Kentucky","210","Harrison","0970","Harrison",0,1,0,0,0,0
"G2100990","1830","Kentucky","210","Hart","0990","Hart",0,2,1,0,0,0
"G2101010","1830","Kentucky","210","Henderson","1010","Henderson",1,0,0,0,0,0
"G2101030","1830","Kentucky","210","Henry","1030","Henry",2,4,1,0,1,0
"G2101050","1830","Kentucky","210","Hickman","1050","Hickman",0,1,1,0,0,0
"G2101070","1830","Kentucky","210","Hopkins","1070","Hopkins",0,2,1,0,0,0
"G2101110","1830","Kentucky","210","Jefferson","1110","Jefferson",1,1,1,0,0,0
"G2101130","1830","Kentucky","210","Jessamine","1130","Jessamine",1,2,2,0,0,0
"G2101210","1830","Kentucky","210","Knox","1210","Knox",1,2,0,0,0,0
"G2101250","1830","Kentucky","210","Laurel","1250","Laurel",0,0,0,0,0,0
"G2101270","1830","Kentucky","210","Lawrence","1270","Lawrence",2,0,0,0,0,0
"G2101350","1830","Kentucky","210","Lewis","1350","Lewis",0,0,1,0,0,0
