GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G0500090,1870,Arkansas,50,Boone,90,Boone,3151,218,3151,,,,,298,,,,,,,,,,,,92,,,,,,,337,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,4,1,3,0,0,,4,,,,,,1,,0,0,
G0500110,1870,Arkansas,50,Bradley,110,Bradley,4807,762,4807,,,,,728,,,,,,,,,,,,566,,,,,,,248,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,5,0,2,0,0,,8,,,,,,1,,0,1,
G0500130,1870,Arkansas,50,Calhoun,130,Calhoun,2170,527,2170,,,,,260,,,,,,,,,,,,164,,,,,,,152,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,0,1,0,0,,2,,,,,,0,,0,0,
G0500150,1870,Arkansas,50,Carroll,150,Carroll,2548,176,2548,,,,,74,,,,,,,,,,,,22,,,,,,,139,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,1,0,5,0,0,,1,,,,,,0,,0,0,
G0500170,1870,Arkansas,50,Chicot,170,Chicot,3562,175,3562,,,,,134,,,,,,,,,,,,756,,,,,,,166,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,4,5,,2,28,9,23,0,0,,60,,,,,,8,,1,0,
G0500190,1870,Arkansas,50,Clark,190,Clark,6591,846,6591,,,,,920,,,,,,,,,,,,592,,,,,,,578,,,,,,1195,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,2,1,0,0,0,,8,,,,,,0,,0,1,
G0500270,1870,Arkansas,50,Columbia,270,Columbia,5698,1308,5698,,,,,2031,,,,,,,,,,,,487,,,,,,,269,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,5,0,3,0,0,,10,,,,,,0,,0,0,
G0500290,1870,Arkansas,50,Conway,290,Conway,4238,634,4238,,,,,482,,,,,,,,,,,,323,,,,,,,254,,,,,,1170,,,,,,,,,,,,,,,,,,,,,,,,12,0,,1,7,2,9,0,0,,23,,,,,,5,,0,2,
G0500310,1870,Arkansas,50,Craighead,310,Craighead,2148,359,2148,,,,,314,,,,,,,,,,,,160,,,,,,,193,,,,,,899,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,0,0,1,0,,3,,,,,,0,,1,0,
G0500330,1870,Arkansas,50,Crawford,330,Crawford,4317,438,4317,,,,,255,,,,,,,,,,,,195,,,,,,,210,,,,,,856,,,,,,,,,,,,,,,,,,,,,,,,7,0,,1,3,7,33,10,0,,21,,,,,,5,,1,0,
